7zip	25.01+dfsg-1~deb13u1
device-tree-compiler	1.7.2-2+b1
dhcpcd-base	1:10.1.0-11+deb13u2
dictionaries-common	1.30.10
diffutils	1:3.10-4
dirmngr	2.4.7-21+deb13u1+b1
distro-info-data	0.66+deb13u1
dmidecode	3.6-2
dmsetup	2:1.02.205-2
dns-root-data	2025080400~deb13u1
dnsmasq-base	2.91-1
docutils-common	0.21.2+dfsg-2
dos2unix	7.5.2-1+b1
dosfstools	4.2-1.2
dpkg	1.22.21
dpkg-dev	1.22.21
dracut-install	106-6
e2fsprogs	1.47.2-3+b7
eatmydata	131-2
ed	1.21.1-1
eject	2.41-5
emacsen-common	3.0.8
enchant-2	2.8.2+dfsg1-3
eom	1.26.1-1+b2
eom-common	1.26.1-1
ethtool	1:6.14.2-1
evince	48.1-3
evince-common	48.1-3
exfatprogs	1.2.9-1+deb13u1
fakeroot	1.37.1.1-1
fbset	2.1-34
fdisk	2.41-5
feedbackd	0.8.2-1
feedbackd-common	0.8.2-1
feedbackd-device-themes	0.8.3-2
ffmpeg	8:7.1.3-0+deb13u1+rpt1
file	1:5.46-5
findutils	4.10.0-3
fio	3.39-1
firefox	147.0.2-1+rpt1
firmware-atheros	1:20241210-1+rpt4
firmware-brcm80211	1:20241210-1+rpt4
firmware-libertas	1:20241210-1+rpt4
firmware-mediatek	1:20241210-1+rpt4
firmware-realtek	1:20241210-1+rpt4
flashrom	1.4.0-3
fontconfig	2.15.0-2.3
fontconfig-config	2.15.0-2.3
fonts-cantarell	0.303.1-4
fonts-dejavu-core	2.37-8
fonts-dejavu-extra	2.37-8
fonts-dejavu-mono	2.37-8
fonts-droid-fallback	1:8.1.0r7-1~1.gbp36536b
fonts-freefont-ttf	20211204+svn4273-2
fonts-gfs-didot-classic	1.1-6
fonts-liberation	1:2.1.5-3
fonts-liberation-sans-narrow	1:1.07.6-4
fonts-liberation2	1:2.1.5-3
fonts-noto-mono	20201225-2
fonts-nunito-sans	1.0
fonts-urw-base35	20200910-8
fuse3	3.17.2-3
g++	4:14.2.0-1
g++-14	14.2.0-19
g++-14-aarch64-linux-gnu	14.2.0-19
g++-aarch64-linux-gnu	4:14.2.0-1
galculator	2.1.4-2
gcc	4:14.2.0-1
gcc-14	14.2.0-19
gcc-14-aarch64-linux-gnu	14.2.0-19
gcc-14-base	14.2.0-19
gcc-14-base	14.2.0-19
gcc-aarch64-linux-gnu	4:14.2.0-1
gcr	3.41.2-3
gcr4	4.4.0.1-3
gdb	16.3-1
gdisk	1.0.10-2+b1
geany	2.0-2+rpt1
geany-common	2.0-2+rpt1
gettext-base	0.23.1-2
ghostscript	10.05.1~dfsg-1+deb13u1
gir1.2-atk-1.0	2.56.2-1+deb13u1
gir1.2-eom-1.0	1.26.1-1+b2
gir1.2-freedesktop	1.84.0-1
gir1.2-gdkpixbuf-2.0	2.42.12+dfsg-4
gir1.2-girepository-2.0	1.84.0-1
gir1.2-glib-2.0	2.84.4-3~deb13u2
gir1.2-gmenu-3.0	3.36.0-3
gir1.2-gtk-3.0	1:3.24.49-3+rpt8
gir1.2-harfbuzz-0.0	10.2.0-1+b1
gir1.2-notify-0.7	0.8.6-1
gir1.2-pango-1.0	1.56.3-1
gir1.2-secret-1	0.21.7-1
git	1:2.47.3-0+deb13u1
git-man	1:2.47.3-0+deb13u1
gldriver-test	0.15
glib-networking	2.80.1-1
glib-networking-common	2.80.1-1
glib-networking-services	2.80.1-1
gnome-desktop3-data	44.3-3
gnome-keyring	48.0-1
gnome-menus	3.36.0-3
gnome-themes-extra-data	3.28-4
gnupg	2.4.7-21+deb13u1
gnupg-l10n	2.4.7-21+deb13u1
gnupg-utils	2.4.7-21+deb13u1+b1
gpg	2.4.7-21+deb13u1+b1
gpg-agent	2.4.7-21+deb13u1+b1
gpg-wks-client	2.4.7-21+deb13u1+b1
gpgconf	2.4.7-21+deb13u1+b1
gpgsm	2.4.7-21+deb13u1+b1
gpgv	2.4.7-21+deb13u1+b1
gpiod	2.2.1-2+deb13u1
grep	3.11-4+b1
grim	1.4.0+ds-2+b2
groff-base	1.23.0-9
gsettings-desktop-schemas	48.0-1+rpt1
gstreamer1.0-alsa	1.26.2-1
gstreamer1.0-gl	1.26.2-1
gstreamer1.0-libav	1.26.2-1
gstreamer1.0-plugins-bad	1.26.2-3
gstreamer1.0-plugins-base	1.26.2-1
gstreamer1.0-plugins-good	1.26.2-1
gstreamer1.0-x	1.26.2-1
gtk-nop	0.1+b1
gtk-update-icon-cache	4.18.6+ds-2
gtk2-engines-pixbuf	2.24.33-7+rpt1
gtk2-engines-pixflat	0.5+b1
gui-pkinst	0.23
gui-updater	1.3
gvfs	1.57.2-2
gvfs-backends	1.57.2-2
gvfs-common	1.57.2-2
gvfs-daemons	1.57.2-2
gvfs-fuse	1.57.2-2
gvfs-libs	1.57.2-2
gzip	1.13-1
hicolor-icon-theme	0.18-2
hostname	3.25
hplip	3.22.10+dfsg0-8.1
hplip-data	3.22.10+dfsg0-8.1
htop	3.4.1-5
hunspell-en-gb	1:25.2.3-1
hunspell-en-us	1:2020.12.07-4
hyphen-en-gb	1:25.2.3-1
i2c-tools	4.4-2
ibverbs-providers	56.1-1
imagemagick-7-common	8:7.1.1.43+dfsg1-1+deb13u5
init	1.69~deb13u1
init-system-helpers	1.69~deb13u1
initramfs-tools	0.148.3+rpt2
initramfs-tools-bin	0.148.3+rpt2
initramfs-tools-core	0.148.3+rpt2
inotify-tools	4.23.9.0-2+b1
ipp-usb	0.9.23-2+b7
iproute2	6.15.0-1
iputils-arping	3:20240905-3
iputils-ping	3:20240905-3
iso-codes	4.18.0-1
iw	6.9-1+b1
javascript-common	12+nmu1
kanshi	1.5.1-2+b1
kbd	2.7.1-2
keyboard-configuration	1.242~deb13u1
keyutils	1.6.3-6
klibc-utils	2.0.14-1
kmod	34.2-2
kms++-utils	0~git20250807.1813ada-1
labwc	0.9.2-1+rpt4
laptop-detect	0.16+nmu1
less	668-1
libaa1	1.4p5-51.1+b1
libabsl20240722	20240722.0-4
libaccountsservice0	23.13.9-7
libacl1	2.3.2-2+b1
libadwaita-1-0	1.7.6-1~deb13u1
libaio1t64	0.3.113-8+b1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl	0.04-9
libalgorithm-merge-perl	0.08-5
libaml0t64	0.3.0-3
libaom3	3.12.1-1
libapparmor1	4.1.0-1
libappstream5	1.0.5-1
libapt-pkg7.0	3.0.3
libarchive13t64	3.7.4-4
libaribb24-0t64	1.0.3-2.1+b2
libasan8	14.2.0-19
libasound2-data	1.2.14-1+rpt1
libasound2t64	1.2.14-1+rpt1
libaspell15	0.60.8.1-4
libass9	1:0.17.3-1+b1
libassuan9	3.0.2-2
libasyncns0	0.8-6+b5
libatasmart4	0.19-5+b2
libatk-bridge2.0-0t64	2.56.2-1+deb13u1
libatk1.0-0t64	2.56.2-1+deb13u1
libatkmm-1.6-1v5	2.28.4-1+b2
libatomic1	14.2.0-19
libatopology2t64	1.2.14-1+rpt1
libatspi2.0-0t64	2.56.2-1+deb13u1
libattr1	1:2.5.2-3
libaudit-common	1:4.0.2-2
libaudit1	1:4.0.2-2+b2
libavahi-client3	0.8-16
libavahi-common-data	0.8-16
libavahi-common3	0.8-16
libavahi-core7	0.8-16
libavahi-glib1	0.8-16
libavc1394-0	0.5.4-5+b2
libavcodec61	8:7.1.3-0+deb13u1+rpt1
libavdevice61	8:7.1.3-0+deb13u1+rpt1
libavfilter10	8:7.1.3-0+deb13u1+rpt1
libavformat61	8:7.1.3-0+deb13u1+rpt1
libavif16	1.2.1-1.2
libavtp0	0.2.0-2
libavutil59	8:7.1.3-0+deb13u1+rpt1
libayatana-ido3-0.4-0	0.10.4-1
libayatana-indicator3-7	0.9.4-1+b1
libb2-1	0.98.1-1.1+b2
libbabeltrace1	1.5.11-4+b2
libbasicusageenvironment2	2025.05.24-1
libbinutils	2.44-3
libblas3	3.12.1-6
libblkid1	2.41-5
libblockdev-crypto3	3.3.0-2.1
libblockdev-fs3	3.3.0-2.1
libblockdev-loop3	3.3.0-2.1
libblockdev-mdraid3	3.3.0-2.1
libblockdev-nvme3	3.3.0-2.1
libblockdev-part3	3.3.0-2.1
libblockdev-swap3	3.3.0-2.1
libblockdev-utils3	3.3.0-2.1
libblockdev3	3.3.0-2.1
libbluetooth3	5.82-1.1+rpt1
libbluray2	1:1.3.4-1+b2
libboost-filesystem1.83.0	1.83.0-4.2
libboost-iostreams1.83.0	1.83.0-4.2
libboost-log1.83.0	1.83.0-4.2
libboost-program-options1.83.0	1.83.0-4.2
libboost-thread1.83.0	1.83.0-4.2
libbpf1	1:1.5.0-3
libbrotli1	1.1.0-2+b7
libbs2b0	3.1.0+dfsg-8+b1
libbsd0	0.12.2-2
libbytesize-common	2.11-2
libbytesize1	2.11-2
libbz2-1.0	1.0.8-6
libc-bin	2.41-12+rpt1+deb13u1
libc-dev-bin	2.41-12+rpt1+deb13u1
libc-l10n	2.41-12+rpt1+deb13u1
libc6	2.41-12+rpt1+deb13u1
libc6	2.41-12+rpt1+deb13u1
libc6-dev	2.41-12+rpt1+deb13u1
libcaca0	0.99.beta20-5
libcairo-gobject2	1.18.4-1+rpt1
libcairo-script-interpreter2	1.18.4-1+rpt1
libcairo2	1.18.4-1+rpt1
libcairomm-1.0-1v5	1.14.5-2+b1
libcamera-ipa	0.6.0+rpt20251202-1
libcamera-tools	0.6.0+rpt20251202-1
libcamera-v4l2	0.6.0+rpt20251202-1
libcamera0.6	0.6.0+rpt20251202-1
libcanberra0	0.30-18
libcap-ng0	0.8.5-4+b1
libcap2	1:2.75-10+b3
libcap2-bin	1:2.75-10+b3
libcapstone5	5.0.6-1
libcbor0.10	0.10.2-2
libcc1-0	14.2.0-19
libcddb2	1.3.2-7.1
libcdio-cdda2t64	10.2+2.0.2-1+b1
libcdio-paranoia2t64	10.2+2.0.2-1+b1
libcdio19t64	2.2.0-4
libcdparanoia0	3.10.2+debian-14+b1
libchromaprint1	1.5.1-7
libcjson1	1.7.18-3.1+deb13u1
libcloudproviders0	0.3.6-2
libcodec2-1.2	1.2.0-3
libcolord2	1.4.7-3
libcolorhug2	1.4.7-3
libcom-err2	1.47.2-3+b7
libconfig++11	1.7.3-2
libcpuinfo0	0.0~git20250327.39ea79a-1
libcrypt-dev	1:4.4.38-1
libcrypt1	1:4.4.38-1
libcryptsetup12	2:2.7.5-2
libctf-nobfd0	2.44-3
libctf0	2.44-3
libcups2t64	2.4.10-3+deb13u2
libcupsfilters1t64	1.28.17-6+deb13u1
libcupsimage2t64	2.4.10-3+deb13u2
libcurl3t64-gnutls	8.14.1-2+deb13u2
libcurl4t64	8.14.1-2+deb13u2
libdaemon0	0.14-7.1+b3
libdatrie1	0.2.13-3+b1
libdav1d7	1.5.1-1
libdaxctl1	81-1
libdb5.3t64	5.3.28+dfsg2-9
libdbus-1-3	1.16.2-2
libdbus-glib-1-2	0.114-1
libdbusmenu-glib4	18.10.20180917~bzr492+repack1-4
libdbusmenu-gtk3-4	18.10.20180917~bzr492+repack1-4
libdc1394-25	2.2.6-5
libdca0	0.0.7-2+b2
libdconf1	0.40.0-5
libde265-0	1.0.15-1+b3
libdebconfclient0	0.280
libdebuginfod-common	0.192-4
libdebuginfod1t64	0.192-4
libdecor-0-0	0.2.2-2
libdeflate0	1.23-2
libdevmapper1.02.1	2:1.02.205-2
libdisplay-info2	0.2.0-2
libdjvulibre-text	3.5.28-2.2
libdjvulibre21	3.5.28-2.2
libdnnl3.6	3.7.2+ds-2
libdouble-conversion3	3.3.1-1
libdpkg-perl	1.22.21
libdrm-amdgpu1	2.4.124-2
libdrm-common	2.4.124-2
libdrm-nouveau2	2.4.124-2
libdrm-radeon1	2.4.124-2
libdrm2	2.4.124-2
libdtovl0	20251120-1
libduktape207	2.7.0-2+b2
libdv4t64	1.0.0-17.1+b1
libdvbpsi10	1.3.3-1+b2
libdvdnav4	6.1.1-3+b1
libdvdread8t64	6.1.3-2
libdw1t64	0.192-4
libeatmydata1	131-2+b1
libebml5	1.4.5-1+b1
libebur128-1	1.2.6-1+b2
libedit2	3.1-20250104-1
libegl-mesa0	25.0.7-2+rpt3
libegl1	1.7.0-1+b2
libelf1t64	0.192-4
libenchant-2-2	2.8.2+dfsg1-3
libepoxy0	1.5.10-2
liberror-perl	0.17030-1
libevdev2	1.13.4+dfsg-1
libevdocument3-4t64	48.1-3
libevent-2.1-7t64	2.1.12-stable-10+b1
libevent-core-2.1-7t64	2.1.12-stable-10+b1
libevview3-3t64	48.1-3
libexempi8	2.6.6-2
libexif12	0.6.25-1
libexpat1	2.7.1-2
libexpat1-dev	2.7.1-2
libext2fs2t64	1.47.2-3+b7
libfaad2	2.11.2-1
libfakeroot	1.37.1.1-1
libfdisk1	2.41-5
libfdt1	1.7.2-2+b1
libfeedback-0.0-0	0.8.2-1
libffado2	2.4.9-2
libffi8	3.4.8-2
libfftw3-double3	3.3.10-2+b1
libfftw3-single3	3.3.10-2+b1
libfido2-1	1.15.0-1+b1
libfile-fcntllock-perl	0.22-4+b4
libflac14	1.5.0+ds-2
libflite1	2.2-7
libfluidsynth3	2.4.4+dfsg-1+deb13u1
libfm-data	1.4.0-2+rpt8
libfm-extra4t64	1.4.0-2+rpt8
libfm-gtk-data	1.4.0-2+rpt8
libfm-gtk3-4t64	1.4.0-2+rpt8
libfm-modules	1.4.0-2+rpt8
libfm4t64	1.4.0-2+rpt8
libfmt10	10.1.1+ds1-4
libfontconfig1	2.15.0-2.3
libfontembed1t64	1.28.17-6+deb13u1
libfontenc1	1:1.1.8-1+b2
libfreeaptx0	0.2.2-1
libfreetype6	2.13.3+dfsg-1
libfribidi0	1.0.16-1
libftdi1-2	1.5-10
libfuse2t64	2.9.9-9
libfuse3-4	3.17.2-3
libgav1-1	0.19.0-3+b1
libgbm1	25.0.7-2+rpt3
libgcc-14-dev	14.2.0-19
libgcc-s1	14.2.0-19
libgcc-s1	14.2.0-19
libgck-1-0	3.41.2-3
libgck-2-2	4.4.0.1-3
libgcr-4-4	4.4.0.1-3
libgcr-base-3-1	3.41.2-3
libgcr-ui-3-1	3.41.2-3
libgcrypt20	1.11.0-7
libgd3	2.3.3-13
libgdata-common	0.18.1-9
libgdata22	0.18.1-9
libgdbm-compat4t64	1.24-2
libgdbm6t64	1.24-2
libgdk-pixbuf-2.0-0	2.42.12+dfsg-4
libgdk-pixbuf2.0-bin	2.42.12+dfsg-4
libgdk-pixbuf2.0-common	2.42.12+dfsg-4
libgfapi0	11.1-6
libgfortran5	14.2.0-19
libgfrpc0	11.1-6
libgfxdr0	11.1-6
libgif7	5.2.2-1+b1
libgirepository-1.0-1	1.84.0-1
libgl-dev	1.7.0-1+b2
libgl1	1.7.0-1+b2
libgl1-mesa-dri	25.0.7-2+rpt3
libgles1	1.7.0-1+b2
libgles2	1.7.0-1+b2
libglib2.0-0t64	2.84.4-3~deb13u2
libglib2.0-bin	2.84.4-3~deb13u2
libglib2.0-data	2.84.4-3~deb13u2
libglibmm-2.4-1t64	2.66.8-1
libglu1-mesa	9.0.2-1.1+b3
libglu1-mesa-dev	9.0.2-1.1+b3
libglusterfs0	11.1-6
libglut-dev	3.4.0-4
libglut3.12	3.4.0-4
libglvnd0	1.7.0-1+b2
libglx-dev	1.7.0-1+b2
libglx-mesa0	25.0.7-2+rpt3
libglx0	1.7.0-1+b2
libgme0	0.6.3-7+b2
libgmobile-common	0.3.1-1
libgmobile0	0.3.1-1
libgmp10	2:6.3.0+dfsg-3
libgnome-desktop-3-20t64	44.3-3
libgnome-menu-3-0	3.36.0-3
libgnutls30t64	3.8.9-3+deb13u1
libgoa-1.0-0b	3.54.5-1~deb13u1
libgoa-1.0-common	3.54.5-1~deb13u1
libgomp1	14.2.0-19
libgpg-error-l10n	1.51-4
libgpg-error0	1.51-4
libgpgme11t64	1.24.2-3
libgpgmepp6t64	1.24.2-3
libgphoto2-6t64	2.5.31-4
libgphoto2-port12t64	2.5.31-4
libgpiod3	2.2.1-2+deb13u1
libgpiolib0	20251120-1
libgpm2	1.20.7-11+b2
libgprofng0	2.44-3
libgraphene-1.0-0	1.10.8-5
libgraphite2-3	1.3.14-2+b1
libgroupsock30	2025.05.24-1
libgs-common	10.05.1~dfsg-1+deb13u1
libgs10	10.05.1~dfsg-1+deb13u1
libgs10-common	10.05.1~dfsg-1+deb13u1
libgsm1	1.0.22-1+b2
libgsound0t64	1.0.3-3.2+b4
libgspell-1-3	1.14.0-2+b1
libgspell-1-common	1.14.0-2
libgssapi-krb5-2	1.21.3-5
libgssdp-1.6-0	1.6.4-1~deb13u1
libgstreamer-gl1.0-0	1.26.2-1
libgstreamer-plugins-bad1.0-0	1.26.2-3
libgstreamer-plugins-base1.0-0	1.26.2-1
libgstreamer1.0-0	1.26.2-2
libgtk-3-0t64	1:3.24.49-3+rpt8
libgtk-3-common	1:3.24.49-3+rpt8
libgtk-4-1	4.18.6+ds-2
libgtk-4-common	4.18.6+ds-2
libgtk-layer-shell0	0.9.0-2
libgtk2.0-0t64	2.24.33-7+rpt1
libgtk2.0-common	2.24.33-7+rpt1
libgtkmm-3.0-1t64	3.24.10-1
libgtksourceview-4-0	4.8.4-6
libgtksourceview-4-common	4.8.4-6
libgudev-1.0-0	238-6
libgupnp-1.6-0	1.6.8-2
libgupnp-igd-1.6-0	1.6.0-4+b1
libgusb2	0.4.9-1+b1
libgxps2t64	0.3.2-4+b2
libhandy-1-0	1.8.3-2+rpt1
libharfbuzz-gobject0	10.2.0-1+b1
libharfbuzz-subset0	10.2.0-1+b1
libharfbuzz0b	10.2.0-1+b1
libheif-plugin-dav1d	1.19.8-1
libheif-plugin-libde265	1.19.8-1
libheif1	1.19.8-1
libhidapi-hidraw0	0.14.0-1+b2
libhogweed6t64	3.10.1-1
libhpmud0	3.22.10+dfsg0-8.1
libhunspell-1.7-0	1.7.2+really1.7.2-10+b4
libhwasan0	14.2.0-19
libhwloc-plugins	2.12.0-4
libhwloc15	2.12.0-4
libhwy1t64	1.2.0-2+b2
libi2c0	4.4-2
libibverbs1	56.1-1
libice-dev	2:1.1.1-1
libice6	2:1.1.1-1
libicu76	76.1-4
libid3tag0	0.16.3-1
libidn12	1.43-1
libidn2-0	2.3.8-2
libidn2-0	2.3.8-2
libiec61883-0	1.2.0-7
libieee1284-3t64	0.2.11-14.1+b1
libijs-0.35	0.35-15.2
libimagequant0	2.18.0-1+b2
libimath-3-1-29t64	3.1.12-1+b3
libimlib2t64	1.12.4-2
libimobiledevice-1.0-6	1.3.0+git20250228-2
libimobiledevice-glue-1.0-0	1.3.1-1
libinih1	59-1
libinotifytools0	4.23.9.0-2+b1
libinput-bin	1.28.1-1
libinput-tools	1.28.1-1
libinput10	1.28.1-1
libinstpatch-1.0-2	1.1.6-1+b2
libisl23	0.27-1
libitm1	14.2.0-19
libiw30t64	30~pre9-18+b1
libixml11t64	1:1.14.20-1
libjack-jackd2-0	1.9.22~dfsg-4
libjansson4	2.14-2+b3
libjaylink0	0.4.0-1
libjbig0	2.1-6.1+b2
libjbig2dec0	0.20-1+b3
libjim0.83	0.83-2
libjpeg62-turbo	1:2.1.5-4
libjs-jquery	3.6.1+dfsg+~3.5.14-1
libjs-sphinxdoc	8.1.3-5
libjs-underscore	1.13.4~dfsg+~1.11.4-3
libjson-c5	0.18+ds-1
libjson-glib-1.0-0	1.10.6+ds-2
libjson-glib-1.0-common	1.10.6+ds-2
libjxl0.11	0.11.1-4
libjxr-tools	1.2~git20170615.f752187-5.3
libjxr0t64	1.2~git20170615.f752187-5.3
libk5crypto3	1.21.3-5
libkate1	0.4.3-1
libkeybinder-3.0-0	0.3.2-1.1+b3
libkeyutils1	1.6.3-6
libklibc	2.0.14-1
libkmod2	34.2-2
libkms++0	0~git20250807.1813ada-1
libkpathsea6	2024.20240313.70630+ds-6
libkrb5-3	1.21.3-5
libkrb5support0	1.21.3-5
libksba8	1.6.7-2+b1
liblapack3	3.12.1-6
liblastlog2-2	2.41-5
liblc3-1	1.1.3+dfsg-1
liblcms2-2	2.16-2
libldacbt-abr2	2.0.2.3+git20200429+ed310a0-5
libldacbt-enc2	2.0.2.3+git20200429+ed310a0-5
libldap-common	2.6.10+dfsg-1
libldap2	2.6.10+dfsg-1
libldb2	2:2.11.0+samba4.22.6+dfsg-0+deb13u1
liblerc4	4.0.0+ds-5
liblgpio1	0.2.2-1~rpt1+trixie
libliftoff0	0.5.0-1.1+rpt6
liblightdm-gobject-1-0	1.32.0-6+rpt2
liblilv-0-0	0.24.26-1
liblirc-client0t64	0.10.2-0.10
liblivemedia116	2025.05.24-1
libllvm19	1:19.1.7-3+b1
liblmdb0	0.9.31-1+b2
liblocale-gettext-perl	1.07-7+b1
liblouis-data	3.33.0-1
liblouis20	3.33.0-1
liblouisutdml-bin	2.12.0-7
liblouisutdml-data	2.12.0-7
liblouisutdml9t64	2.12.0-7
liblqr-1-0	0.4.2-2.1+b2
liblrdf0	0.6.1-4+b2
liblsan0	14.2.0-19
liblsof0	4.99.4+dfsg-2
libltc11	1.3.2-1+b2
libltdl7	2.5.4-4
liblttng-ust-common1t64	2.13.9-1
liblttng-ust-ctl5t64	2.13.9-1
liblttng-ust1t64	2.13.9-1
liblua5.2-0	5.2.4-3+b3
liblua5.4-0	5.4.7-1+b2
libluajit-5.1-2	2.1.0+openresty20250117-2
libluajit-5.1-common	2.1.0+openresty20250117-2
liblz4-1	1.10.0-4
liblzma5	5.8.1-1
liblzo2-2	2.10-3+b1
libmad0	0.15.1b-11+b1
libmagic-mgc	1:5.46-5
libmagic1t64	1:5.46-5
libmagickcore-7.q16-10	8:7.1.1.43+dfsg1-1+deb13u5
libmagickcore-7.q16-10-extra	8:7.1.1.43+dfsg1-1+deb13u5
libmagickwand-7.q16-10	8:7.1.1.43+dfsg1-1+deb13u5
libmate-desktop-2-17t64	1.26.2-1.2
libmatroska7	1.7.1-1+b2
libmbedcrypto16	3.6.5-0.1~deb13u1
libmbim-glib4	1.32.0-1
libmbim-proxy	1.32.0-1
libmbim-utils	1.32.0-1
libmd0	1.1.0-2+b1
libmd4c0	0.5.2-2+b1
libmenu-cache-bin	1.1.1-1
libmenu-cache3	1.1.1-1
libminizip1t64	1:1.3.dfsg+really1.3.1-1+b1
libmjpegutils-2.1-0t64	1:2.1.0+debian-8.1+b1
libmm-glib0	1.24.0-1+deb13u1
libmnl0	1.0.5-3
libmodplug1	1:0.8.9.0-3+b2
libmount1	2.41-5
libmousepad0	0.6.3-1
libmp3lame0	3.100-6+b3
libmpc3	1.3.1-1+b3
libmpcdec6	2:0.1~r495-3
libmpeg2encpp-2.1-0t64	1:2.1.0+debian-8.1+b1
libmpfr6	4.2.2-1
libmpg123-0t64	1.32.10-1
libmplex2-2.1-0t64	1:2.1.0+debian-8.1+b1
libmsgraph-1-1	0.3.3-3
libmtdev1t64	1.1.7-1
libmtp-common	1.1.22-1
libmtp-runtime	1.1.22-1
libmtp9t64	1.1.22-1
libmysofa1	1.3.3+dfsg-1
libnbd0	1.22.2-1+b1
libncurses6	6.5+20250216-2
libncursesw6	6.5+20250216-2
libndctl6	81-1
libndp0	1.9-1+b1
libneatvnc0	0.9.5~github
libneon27t64	0.34.2-1
libnetfilter-conntrack3	1.1.0-1
libnetplan1	1.1.2-7+rpt1
libnettle8t64	3.10.1-1
libnewt0.52	0.52.25-1
libnfnetlink0	1.0.2-3
libnfs14	5.0.2-1+b2
libnfsidmap1	1:2.8.3-1
libnftables1	1.1.3-1
libnftnl11	1.2.9-1
libnghttp2-14	1.64.0-1.1
libnghttp3-9	1.8.0-1
libngtcp2-16	1.11.0-1
libngtcp2-crypto-gnutls8	1.11.0-1
libnice10	0.1.22-1
libnl-3-200	3.7.0-2
libnl-genl-3-200	3.7.0-2
libnl-route-3-200	3.7.0-2
libnm0	1.52.1-1+rpt4
libnma-common	1.10.6-5+rpt1
libnma0	1.10.6-5+rpt1
libnorm1t64	1.5.9+dfsg-3.1+b2
libnotify4	0.8.6-1
libnpth0t64	1.8-3
libnspr4	2:4.36-1
libnss-mdns	0.15.1-4+b1
libnss3	2:3.110-1
libntfs-3g89t64	1:2022.10.3-5
libnuma1	2.0.19-1
libnvme1t64	1.13-2
libobrender32v5	3.6.1-12+rpt1
libobt2v5	3.6.1-12+rpt1
libogg0	1.3.5-3+b2
libonnx1t64	1.17.0-3+b1
libonnxruntime1.21	1.21.0+dfsg-1
libopenal-data	1:1.24.2-1
libopenal1	1:1.24.2-1
libopencore-amrnb0	0.1.6-1+b2
libopencore-amrwb0	0.1.6-1+b2
libopencv-calib3d410	4.10.0+dfsg-5
libopencv-core410	4.10.0+dfsg-5
libopencv-dnn410	4.10.0+dfsg-5
libopencv-features2d410	4.10.0+dfsg-5
libopencv-flann410	4.10.0+dfsg-5
libopencv-imgproc410	4.10.0+dfsg-5
